Line_index,Line_start,Line_end,Line
66,15,16,"[ -2.1387523620231192,51.371772022260494],[ -1.2622679150120988,53.42628347167888]"
67,15,16,"[ -2.1387523620231192,51.371772022260494],[ -1.2622679150120988,53.42628347167888]"
68,15,21,"[ -2.1387523620231192,51.371772022260494],[ -3.9025597150035884,50.79674493712362]"
69,15,21,"[ -2.1387523620231192,51.371772022260494],[ -3.9025597150035884,50.79674493712362]"
70,16,20,"[ -1.2622679150120988,53.42628347167888],[ -1.0292436595201409,50.91331731769251]"
71,16,20,"[ -1.2622679150120988,53.42628347167888],[ -1.0292436595201409,50.91331731769251]"
72,16,29,"[ -1.2622679150120988,53.42628347167888],[ -1.0837834906824324,53.58014796874405]"
73,16,30,"[ -1.2622679150120988,53.42628347167888],[ -1.0837834906824324,53.58014796874405]"
74,17,18,"[ -0.12220930275771401,51.51348843682179],[ 0.7354702883795619,51.36367253816833]"
75,17,18,"[ -0.12220930275771401,51.51348843682179],[ 0.7354702883795619,51.36367253816833]"
76,18,19,"[ 0.7354702883795619,51.36367253816833],[ 1.0079392208724456,51.10469776468738]"
77,18,19,"[ 0.7354702883795619,51.36367253816833],[ 1.0079392208724456,51.10469776468738]"
78,19,20,"[ 1.0079392208724456,51.10469776468738],[ -1.0292436595201409,50.91331731769251]"
79,19,20,"[ 1.0079392208724456,51.10469776468738],[ -1.0292436595201409,50.91331731769251]"
80,20,21,"[ -1.0292436595201409,50.91331731769251],[ -3.9025597150035884,50.79674493712362]"
81,20,21,"[ -1.0292436595201409,50.91331731769251],[ -3.9025597150035884,50.79674493712362]"
82,33,34,"[ -1.0837834906824324,53.58014796874405],[ -1.0837834906824324,53.58014796874405]"
83,74,75,"[ -0.9098481700663408,51.927198601260926],[ -0.9098481700663408,51.927198601260926]"
84,74,76,"[ -0.9098481700663408,51.927198601260926],[ -0.9098481700663408,51.927198601260926]"
85,74,100,"[ -0.9098481700663408,51.927198601260926],[ -4.064340478966536,55.67560180507288]"
86,74,100,"[ -0.9098481700663408,51.927198601260926],[ -4.064340478966536,55.67560180507288]"
87,78,83,"[ -4.686733569759012,55.83714472648713],[ -3.905306195894084,56.020913254753395]"
88,78,86,"[ -4.686733569759012,55.83714472648713],[ -3.6853005430154684,56.050371797302205]"
89,78,96,"[ -4.686733569759012,55.83714472648713],[ -4.42491307796785,55.78552055767659]"
90,79,90,"[ -4.686733569759012,55.83714472648713],[ -4.870333216200005,55.907007888209414]"
91,83,86,"[ -3.905306195894084,56.020913254753395],[ -3.6853005430154684,56.050371797302205]"
92,83,133,"[ -3.905306195894084,56.020913254753395],[ -4.163496630203753,56.759351018175245]"
93,84,134,"[ -3.905306195894084,56.020913254753395],[ -4.163496630203753,56.759351018175245]"
94,86,99,"[ -3.6853005430154684,56.050371797302205],[ -4.064340478966536,55.67560180507288]"
95,86,99,"[ -3.6853005430154684,56.050371797302205],[ -4.064340478966536,55.67560180507288]"
96,86,108,"[ -3.6853005430154684,56.050371797302205],[ -2.3405547129104325,53.48221715459604]"
97,86,109,"[ -3.6853005430154684,56.050371797302205],[ -2.3405547129104325,53.48221715459604]"
98,86,128,"[ -3.6853005430154684,56.050371797302205],[ -2.346052379862795,57.2331743576788]"
99,86,130,"[ -3.6853005430154684,56.050371797302205],[ -2.9567899398173636,56.53378160019205]"
100,86,130,"[ -3.6853005430154684,56.050371797302205],[ -2.9567899398173636,56.53378160019205]"
101,90,91,"[ -4.870333216200005,55.907007888209414],[ -4.8981427957503,55.7234579129827]"
102,90,100,"[ -4.870333216200005,55.907007888209414],[ -4.064340478966536,55.67560180507288]"
103,91,92,"[ -4.8981427957503,55.7234579129827],[ -4.8981427957503,55.7234579129827]"
104,91,97,"[ -4.8981427957503,55.7234579129827],[ -4.42491307796785,55.78552055767659]"
105,91,100,"[ -4.8981427957503,55.7234579129827],[ -4.064340478966536,55.67560180507288]"
106,92,93,"[ -4.8981427957503,55.7234579129827],[ -4.8981427957503,55.7234579129827]"
107,96,99,"[ -4.42491307796785,55.78552055767659],[ -4.064340478966536,55.67560180507288]"
108,96,99,"[ -4.42491307796785,55.78552055767659],[ -4.064340478966536,55.67560180507288]"
109,100,104,"[ -4.064340478966536,55.67560180507288],[ -4.359012377617037,57.31198128393078]"
110,100,104,"[ -4.064340478966536,55.67560180507288],[ -4.359012377617037,57.31198128393078]"
111,104,110,"[ -4.359012377617037,57.31198128393078],[ -2.3405547129104325,53.48221715459604]"
112,104,110,"[ -4.359012377617037,57.31198128393078],[ -2.3405547129104325,53.48221715459604]"
113,110,111,"[ -2.3405547129104325,53.48221715459604],[ -2.3405547129104325,53.48221715459604]"
114,110,112,"[ -2.3405547129104325,53.48221715459604],[ -2.3405547129104325,53.48221715459604]"
115,114,120,"[ -4.460295658391722,57.483439162815394],[ -4.191457809827574,55.874011005264165]"
116,114,120,"[ -4.460295658391722,57.483439162815394],[ -4.191457809827574,55.874011005264165]"
